
                                       List of relations
 Schema |                              Name                               |   Type   |  Owner
--------+-----------------------------------------------------------------+----------+----------
 public | acquisition                                                     | table    | postgres
 public | acquisition_acquisition_id_seq                                  | sequence | postgres
 public | acquisition_relationship                                        | table    | postgres
 public | acquisition_relationship_acquisition_relationship_id_seq        | sequence | postgres
 public | acquisitionprop                                                 | table    | postgres
 public | acquisitionprop_acquisitionprop_id_seq                          | sequence | postgres
 public | all_feature_names                                               | view     | postgres
 public | analysis                                                        | table    | postgres
 public | analysis_analysis_id_seq                                        | sequence | postgres
 public | analysis_cvterm                                                 | table    | postgres
 public | analysis_cvterm_analysis_cvterm_id_seq                          | sequence | postgres
 public | analysis_dbxref                                                 | table    | postgres
 public | analysis_dbxref_analysis_dbxref_id_seq                          | sequence | postgres
 public | analysis_pub                                                    | table    | postgres
 public | analysis_pub_analysis_pub_id_seq                                | sequence | postgres
 public | analysis_relationship                                           | table    | postgres
 public | analysis_relationship_analysis_relationship_id_seq              | sequence | postgres
 public | analysisfeature                                                 | table    | postgres
 public | analysisfeature_analysisfeature_id_seq                          | sequence | postgres
 public | analysisfeatureprop                                             | table    | postgres
 public | analysisfeatureprop_analysisfeatureprop_id_seq                  | sequence | postgres
 public | analysisprop                                                    | table    | postgres
 public | analysisprop_analysisprop_id_seq                                | sequence | postgres
 public | arraydesign                                                     | table    | postgres
 public | arraydesign_arraydesign_id_seq                                  | sequence | postgres
 public | arraydesignprop                                                 | table    | postgres
 public | arraydesignprop_arraydesignprop_id_seq                          | sequence | postgres
 public | assay                                                           | table    | postgres
 public | assay_assay_id_seq                                              | sequence | postgres
 public | assay_biomaterial                                               | table    | postgres
 public | assay_biomaterial_assay_biomaterial_id_seq                      | sequence | postgres
 public | assay_project                                                   | table    | postgres
 public | assay_project_assay_project_id_seq                              | sequence | postgres
 public | assayprop                                                       | table    | postgres
 public | assayprop_assayprop_id_seq                                      | sequence | postgres
 public | auth_group                                                      | table    | postgres
 public | auth_group_id_seq                                               | sequence | postgres
 public | auth_group_permissions                                          | table    | postgres
 public | auth_group_permissions_id_seq                                   | sequence | postgres
 public | auth_permission                                                 | table    | postgres
 public | auth_permission_id_seq                                          | sequence | postgres
 public | auth_user                                                       | table    | postgres
 public | auth_user_groups                                                | table    | postgres
 public | auth_user_groups_id_seq                                         | sequence | postgres
 public | auth_user_id_seq                                                | sequence | postgres
 public | auth_user_user_permissions                                      | table    | postgres
 public | auth_user_user_permissions_id_seq                               | sequence | postgres
 public | biomaterial                                                     | table    | postgres
 public | biomaterial_biomaterial_id_seq                                  | sequence | postgres
 public | biomaterial_dbxref                                              | table    | postgres
 public | biomaterial_dbxref_biomaterial_dbxref_id_seq                    | sequence | postgres
 public | biomaterial_relationship                                        | table    | postgres
 public | biomaterial_relationship_biomaterial_relationship_id_seq        | sequence | postgres
 public | biomaterial_treatment                                           | table    | postgres
 public | biomaterial_treatment_biomaterial_treatment_id_seq              | sequence | postgres
 public | biomaterialprop                                                 | table    | postgres
 public | biomaterialprop_biomaterialprop_id_seq                          | sequence | postgres
 public | cell_line                                                       | table    | postgres
 public | cell_line_cell_line_id_seq                                      | sequence | postgres
 public | cell_line_cvterm                                                | table    | postgres
 public | cell_line_cvterm_cell_line_cvterm_id_seq                        | sequence | postgres
 public | cell_line_cvtermprop                                            | table    | postgres
 public | cell_line_cvtermprop_cell_line_cvtermprop_id_seq                | sequence | postgres
 public | cell_line_dbxref                                                | table    | postgres
 public | cell_line_dbxref_cell_line_dbxref_id_seq                        | sequence | postgres
 public | cell_line_feature                                               | table    | postgres
 public | cell_line_feature_cell_line_feature_id_seq                      | sequence | postgres
 public | cell_line_library                                               | table    | postgres
 public | cell_line_library_cell_line_library_id_seq                      | sequence | postgres
 public | cell_line_pub                                                   | table    | postgres
 public | cell_line_pub_cell_line_pub_id_seq                              | sequence | postgres
 public | cell_line_relationship                                          | table    | postgres
 public | cell_line_relationship_cell_line_relationship_id_seq            | sequence | postgres
 public | cell_line_synonym                                               | table    | postgres
 public | cell_line_synonym_cell_line_synonym_id_seq                      | sequence | postgres
 public | cell_lineprop                                                   | table    | postgres
 public | cell_lineprop_cell_lineprop_id_seq                              | sequence | postgres
 public | cell_lineprop_pub                                               | table    | postgres
 public | cell_lineprop_pub_cell_lineprop_pub_id_seq                      | sequence | postgres
 public | chadoprop                                                       | table    | postgres
 public | chadoprop_chadoprop_id_seq                                      | sequence | postgres
 public | channel                                                         | table    | postgres
 public | channel_channel_id_seq                                          | sequence | postgres
 public | common_ancestor_cvterm                                          | view     | postgres
 public | common_descendant_cvterm                                        | view     | postgres
 public | contact                                                         | table    | postgres
 public | contact_contact_id_seq                                          | sequence | postgres
 public | contact_relationship                                            | table    | postgres
 public | contact_relationship_contact_relationship_id_seq                | sequence | postgres
 public | contactprop                                                     | table    | postgres
 public | contactprop_contactprop_id_seq                                  | sequence | postgres
 public | control                                                         | table    | postgres
 public | control_control_id_seq                                          | sequence | postgres
 public | cv                                                              | table    | postgres
 public | cv_cv_id_seq                                                    | sequence | postgres
 public | cv_cvterm_count                                                 | view     | postgres
 public | cv_cvterm_count_with_obs                                        | view     | postgres
 public | cv_leaf                                                         | view     | postgres
 public | cv_link_count                                                   | view     | postgres
 public | cv_path_count                                                   | view     | postgres
 public | cv_root                                                         | view     | postgres
 public | cvprop                                                          | table    | postgres
 public | cvprop_cvprop_id_seq                                            | sequence | postgres
 public | cvterm                                                          | table    | postgres
 public | cvterm_cvterm_id_seq                                            | sequence | postgres
 public | cvterm_dbxref                                                   | table    | postgres
 public | cvterm_dbxref_cvterm_dbxref_id_seq                              | sequence | postgres
 public | cvterm_relationship                                             | table    | postgres
 public | cvterm_relationship_cvterm_relationship_id_seq                  | sequence | postgres
 public | cvtermpath                                                      | table    | postgres
 public | cvtermpath_cvtermpath_id_seq                                    | sequence | postgres
 public | cvtermprop                                                      | table    | postgres
 public | cvtermprop_cvtermprop_id_seq                                    | sequence | postgres
 public | cvtermsynonym                                                   | table    | postgres
 public | cvtermsynonym_cvtermsynonym_id_seq                              | sequence | postgres
 public | db                                                              | table    | postgres
 public | db_db_id_seq                                                    | sequence | postgres
 public | db_dbxref_count                                                 | view     | postgres
 public | dbprop                                                          | table    | postgres
 public | dbprop_dbprop_id_seq                                            | sequence | postgres
 public | dbxref                                                          | table    | postgres
 public | dbxref_dbxref_id_seq                                            | sequence | postgres
 public | dbxrefprop                                                      | table    | postgres
 public | dbxrefprop_dbxrefprop_id_seq                                    | sequence | postgres
 public | dfeatureloc                                                     | view     | postgres
 public | django_admin_log                                                | table    | postgres
 public | django_admin_log_id_seq                                         | sequence | postgres
 public | django_content_type                                             | table    | postgres
 public | django_content_type_id_seq                                      | sequence | postgres
 public | django_migrations                                               | table    | postgres
 public | django_migrations_id_seq                                        | sequence | postgres
 public | django_session                                                  | table    | postgres
 public | eimage                                                          | table    | postgres
 public | eimage_eimage_id_seq                                            | sequence | postgres
 public | element                                                         | table    | postgres
 public | element_element_id_seq                                          | sequence | postgres
 public | element_relationship                                            | table    | postgres
 public | element_relationship_element_relationship_id_seq                | sequence | postgres
 public | elementresult                                                   | table    | postgres
 public | elementresult_elementresult_id_seq                              | sequence | postgres
 public | elementresult_relationship                                      | table    | postgres
 public | elementresult_relationship_elementresult_relationship_id_seq    | sequence | postgres
 public | environment                                                     | table    | postgres
 public | environment_cvterm                                              | table    | postgres
 public | environment_cvterm_environment_cvterm_id_seq                    | sequence | postgres
 public | environment_environment_id_seq                                  | sequence | postgres
 public | expression                                                      | table    | postgres
 public | expression_cvterm                                               | table    | postgres
 public | expression_cvterm_expression_cvterm_id_seq                      | sequence | postgres
 public | expression_cvtermprop                                           | table    | postgres
 public | expression_cvtermprop_expression_cvtermprop_id_seq              | sequence | postgres
 public | expression_expression_id_seq                                    | sequence | postgres
 public | expression_image                                                | table    | postgres
 public | expression_image_expression_image_id_seq                        | sequence | postgres
 public | expression_pub                                                  | table    | postgres
 public | expression_pub_expression_pub_id_seq                            | sequence | postgres
 public | expressionprop                                                  | table    | postgres
 public | expressionprop_expressionprop_id_seq                            | sequence | postgres
 public | f_loc                                                           | view     | postgres
 public | f_type                                                          | view     | postgres
 public | feature                                                         | table    | postgres
 public | feature_contact                                                 | table    | postgres
 public | feature_contact_feature_contact_id_seq                          | sequence | postgres
 public | feature_contains                                                | view     | postgres
 public | feature_cvterm                                                  | table    | postgres
 public | feature_cvterm_dbxref                                           | table    | postgres
 public | feature_cvterm_dbxref_feature_cvterm_dbxref_id_seq              | sequence | postgres
 public | feature_cvterm_feature_cvterm_id_seq                            | sequence | postgres
 public | feature_cvterm_pub                                              | table    | postgres
 public | feature_cvterm_pub_feature_cvterm_pub_id_seq                    | sequence | postgres
 public | feature_cvtermprop                                              | table    | postgres
 public | feature_cvtermprop_feature_cvtermprop_id_seq                    | sequence | postgres
 public | feature_dbxref                                                  | table    | postgres
 public | feature_dbxref_feature_dbxref_id_seq                            | sequence | postgres
 public | feature_difference                                              | view     | postgres
 public | feature_disjoint                                                | view     | postgres
 public | feature_distance                                                | view     | postgres
 public | feature_expression                                              | table    | postgres
 public | feature_expression_feature_expression_id_seq                    | sequence | postgres
 public | feature_expressionprop                                          | table    | postgres
 public | feature_expressionprop_feature_expressionprop_id_seq            | sequence | postgres
 public | feature_feature_id_seq                                          | sequence | postgres
 public | feature_genotype                                                | table    | postgres
 public | feature_genotype_feature_genotype_id_seq                        | sequence | postgres
 public | feature_intersection                                            | view     | postgres
 public | feature_meets                                                   | view     | postgres
 public | feature_meets_on_same_strand                                    | view     | postgres
 public | feature_phenotype                                               | table    | postgres
 public | feature_phenotype_feature_phenotype_id_seq                      | sequence | postgres
 public | feature_pub                                                     | table    | postgres
 public | feature_pub_feature_pub_id_seq                                  | sequence | postgres
 public | feature_pubprop                                                 | table    | postgres
 public | feature_pubprop_feature_pubprop_id_seq                          | sequence | postgres
 public | feature_relationship                                            | table    | postgres
 public | feature_relationship_feature_relationship_id_seq                | sequence | postgres
 public | feature_relationship_pub                                        | table    | postgres
 public | feature_relationship_pub_feature_relationship_pub_id_seq        | sequence | postgres
 public | feature_relationshipprop                                        | table    | postgres
 public | feature_relationshipprop_feature_relationshipprop_id_seq        | sequence | postgres
 public | feature_relationshipprop_pub                                    | table    | postgres
 public | feature_relationshipprop_pub_feature_relationshipprop_pub_i_seq | sequence | postgres
 public | feature_synonym                                                 | table    | postgres
 public | feature_synonym_feature_synonym_id_seq                          | sequence | postgres
 public | feature_union                                                   | view     | postgres
 public | feature_uniquename_seq                                          | sequence | postgres
 public | featureloc                                                      | table    | postgres
 public | featureloc_featureloc_id_seq                                    | sequence | postgres
 public | featureloc_pub                                                  | table    | postgres
 public | featureloc_pub_featureloc_pub_id_seq                            | sequence | postgres
 public | featuremap                                                      | table    | postgres
 public | featuremap_contact                                              | table    | postgres
 public | featuremap_contact_featuremap_contact_id_seq                    | sequence | postgres
 public | featuremap_dbxref                                               | table    | postgres
 public | featuremap_dbxref_featuremap_dbxref_id_seq                      | sequence | postgres
 public | featuremap_featuremap_id_seq                                    | sequence | postgres
 public | featuremap_organism                                             | table    | postgres
